#NODES
id,name,aktiflik,etkilesim,baglantiSayisi,radius,nodeRengi
1,Rana,0.8,40,10,42,#6AC9A1
2,Alper,0.7,30,10,42,#4F2FFC
3,Ronaldo,0.6,20,2,18,#6AC9A1
4,Messi,0.6,20,2,18,#0D4F3C
5,Diego Maradona,0.7,10,1,15,#6AC9A1
6,Ronaldo Nazario,0.6,10,4,24,#4F2FFC
7,Shakira,0.5,6,2,18,#6AC9A1
8,Victor Osimhen,0.5,6,2,18,#4F2FFC
9,Rihanna,0.6,8,3,21,#4F2FFC
10,Katy Perry,0.5,12,2,18,#4F2FFC
11,Gerard Piqué,0.4,7,3,21,#4F2FFC
12,Mauro Icardi,0.6,10,2,18,#0D4F3C
13,Magnus Carlsen,0.7,12,3,21,#6AC9A1
14,Millie Bobby Brown,0.3,3,2,18,#4F2FFC
15,Natalia Dyer,0.6,2,2,18,#6AC9A1
16,Scarlett Johansson,0.4,20,4,24,#4F2FFC
17,Mr Beast,0.6,15,3,21,#4F2FFC
18,Sergio Ramos,0.3,6,2,18,#4F2FFC
19,Xavi,0.6,3,4,24,#4F2FFC
20,Fatih Terim,0.6,10,1,15,#6AC9A1
21,Ali Koç,0.1,1,1,15,#4F2FFC
22,Melissa Vargas,0.3,6,3,21,#6AC9A1
23,Ebrar Karakurt,0.2,3,4,24,#6AC9A1
24,Zehra Güneş,0.1,3,2,18,#4F2FFC
25,Hande Baladın,0.2,3,1,15,#4F2FFC
26,Eda Erdem Dündar,0.2,5,2,18,#4F2FFC
27,Thibaut Courtois,0.2,5,2,18,#0D4F3C
28,Arda GÜLER,0.2,6,3,21,#4F2FFC
29,Barış Alper YILMAZ,0.1,7,3,21,#6AC9A1
30,Cenk TOSUN,0.3,4,1,15,#0D4F3C
31,Kenan YILDIZ,0.2,7,2,18,#4F2FFC
32,Kerem AKTÜRKOĞLU,0.2,6,1,15,#4F2FFC
33,Yunus AKGÜN,0.2,10,2,18,#4F2FFC
34,Uğurcan ÇAKIR,0.5,4,2,18,#6AC9A1
35,Elon Musk,0.5,2,1,15,#4F2FFC
36,Mark Zuckerberg,0.5,4,2,18,#0D4F3C
37,Jeff Bezos,0.2,7,2,18,#0D4F3C
38,Larry Ellison,0.2,15,1,15,#6AC9A1
39,Bernard Arnault,0.5,6,2,18,#0D4F3C
40,Warren Buffett,0.5,6,2,18,#4F2FFC
41,Larry Page,0.3,8,1,15,#4F2FFC
42,Sergey Brin,0.3,8,3,21,#6AC9A1
43,Amancio Ortega,0.3,6,1,15,#6AC9A1
44,Steve Ballmer,0.6,4,1,15,#4F2FFC
45,	Mukesh Ambani,0.4,6,1,15,#6AC9A1
46,Rob Walton,0.3,7,1,15,#6AC9A1
47,Alice Walton,0.3,6,1,15,#6AC9A1
48,Carlos Slim,0.3,6,2,18,#4F2FFC
49,Michael Bloomberg,0.7,2,3,21,#0D4F3C
50,David Koch,0.4,8,1,15,#6AC9A1

#EDGES
id,from,to,weight
1,1,22,0.0008632385448741654
2,1,13,0.0012699633729552082
3,1,34,0.0007675084414894191
4,1,20,0.0010963346934748702
5,1,46,0.0009027202660541989
6,1,7,0.000845179381962809
7,7,42,0.13883161438917305
8,42,3,0.006809130858258753
9,3,29,0.005793867255414501
10,29,5,0.08400950394070147
11,42,13,0.05185607376898026
12,13,15,0.009485213474643749
13,22,15,0.05620054985897969
14,22,34,0.14534632239714196
15,1,47,0.0008363749056732095
16,1,29,0.0008946266399852352
17,1,23,0.0006968705133063822
18,1,38,0.0014114787717821496
19,23,43,0.08494422752310637
20,23,45,0.06710676910211713
21,23,50,0.027592139164539075
22,2,9,0.0020553403846659255
23,2,28,0.0017247147572300426
24,2,32,0.001713093095031422
25,2,31,0.0018472236191020616
26,2,17,0.004108236249377637
27,2,24,0.001321620232529998
28,2,40,0.001627710037022595
29,2,18,0.001594129022193282
30,2,33,0.0021443094955466437
31,2,19,0.0012307029073715815
32,9,19,0.03748945681434141
33,9,28,0.13585572554716577
34,28,17,0.011736829340936193
35,31,11,0.309795159833697
36,11,14,0.052816515390999776
37,14,10,0.01181550953301829
38,10,6,0.1483318161419029
39,6,21,0.011938649730398838
40,6,41,0.10417092365215742
41,6,11,0.08390783451631818
42,24,26,0.14572268168554764
43,17,26,0.009701019013240395
44,40,8,0.38836590977730145
45,8,48,0.3311202339570368
46,48,44,0.13513443814488563
47,33,16,0.009715001845235749
48,18,16,0.005038139363528543
49,19,16,0.003436970038227755
50,19,35,0.08487515875662698
51,16,25,0.0033267720903037696
52,49,36,0.1668731595100559
53,12,49,0.014344218766613737
54,39,12,0.052478379633761646
55,39,27,0.19195074566212172
56,27,37,0.13504145567984036
57,37,4,0.005797727841413205
58,4,36,0.003872664239539628
59,30,49,0.09151948242801342
